Antibody,Isotype
2B4,Mouse_IgG1
4-1BB,Mouse_IgG1
4-1BBL,Mouse_IgG1
B7-H2,Mouse_IgG2b
B7-H4,Mouse_IgG1
B7H3,Mouse_IgG1
BCMA,Mouse_IgG2a
BTLA,Mouse_IgG2a
c-KIT,Rat_IgG2b
CCR4,Mouse_IgG1
CCR5,Rat_IgG2b
CCR6,Mouse_IgG2b
CCR7,Mouse_IgG2a
CD10,Mouse_IgG1
CD103,Mouse_IgG1
CD11b,Mouse_IgG1
CD11C,Rat_IgG2b
CD123,Mouse_IgG1
CD127,Mouse_IgG1
CD14,Mouse_IgG2b
CD141,Mouse_IgG1
CD15,Mouse_IgG1
CD16,Mouse_IgG1
CD161,Mouse_IgG1
CD163,Mouse_IgG1
CD19,Mouse_IgG1
CD1C,Mouse_IgG1
CD1d,Mouse_IgG1
CD2,Mouse_IgG1
CD25,Mouse_IgG1
CD27,Mouse_IgG1
CD28,Mouse_IgG1
CD3,Mouse_IgG1
CD31,Mouse_IgG1
CD34,Mouse_IgG1
CD38,Mouse_IgG1
CD39,Mouse_IgG1
CD4,Mouse_IgG1
CD40,Mouse_IgG1
CD40LG,Mouse_IgG1
CD44,Mouse_IgG1
CD45,Mouse_IgG1
CD45RA,Mouse_IgG2b
CD45RO,Mouse_IgG2a
CD47,Mouse_IgG1
CD48,Mouse_IgG1
CD49b,Mouse_IgG1
CD5,Rat_IgG2b
CD56,Mouse_IgG1
CD57,Mouse_IgG1
CD62L,Rat_IgG2b
CD66b,Mouse_IgG1
CD69,Mouse_IgG1
CD80,Mouse_IgG1
CD86,Mouse_IgG2b
CD8a,Mouse_IgG1
CR2,Mouse_IgG1
CRTH2,Rat_IgG2b
CTLA-4,Mouse_IgG2a
CXCR3,Mouse_IgG1
CXCR5,Mouse_IgG1
DNAM-1,Mouse_IgG1
EGFR,Mouse_IgG1
EPCAM,Mouse_IgG2b
FAS,Mouse_IgG1
FAS-L,Mouse_IgG1
GITR,Mouse_IgG2a,
HER2,Mouse_IgG1
HVEM,Mouse_IgG1
ICOS,Armenian_Hamster_IgG
ICOSL,Mouse_IgG2b
IgD,Mouse_IgG2a
IgG1,Control
IgG2a,Control
IgG2b,Control
KLRG1,Mouse_IgG2a
LAG-3,Mouse_IgG1
LFA-3,Mouse_IgG1
MCAM,Mouse_IgG1
MHCI,rat_IgG2a
MHCII,rat_IgG2a
Nectin-2,Mouse_IgG1
NKG2D,Mouse_IgG2b
NKP46,Mouse_IgG1
OX40,Mouse_IgG1
PD-1,Mouse_IgG2b
PD-L1,Mouse_IgG1
PD-L2,Mouse_IgG2a
PDGFRA,Rat_IgG2b
PDGFRb,Rat_IgG2b
PVR,Mouse_IgG1
TACTILE,Mouse_IgG1
TCRgd,Mouse_IgG1
Thy-1,Mouse_IgG1
TIGIT,Mouse_IgG2a
TIM-3,Mouse_IgG1
